gene,t_stat,p_value,log2FC,p_adj
LOC100130148,-38.48479468952121,1.2948967818060313e-208,-2.954650316280195,1.9937525749467463e-204
LOC100128977,-36.07111788792299,1.1827464182918693e-193,-2.709109458077706,9.105373301219957e-190
TPSG1,-35.01698636745111,4.872856807468941e-179,-3.3457957973727055,2.5009125421533094e-175
CST9,-33.780928158311205,9.580254776014041e-177,-4.08528155436554,3.6876795696572046e-173
NAT1,-38.155713672436185,6.735184554278243e-172,-4.181539677134247,2.0740327316444423e-168
SLC39A6,-37.52454352727586,1.2232156268593298e-171,-2.6935331279678536,3.1389751677921834e-168
FSIP1,-41.353050968304274,1.579698858421564e-169,-4.642231620221143,3.4746604747309743e-166
CYP2B7P1,-38.07436824986672,3.2062203539795074e-163,-6.398474035562026,6.17077184877781e-160
RGS22,-35.784077296747846,4.6655935617200894e-151,-4.044317857266653,7.9817937855338e-148
CDC20,34.181296346501156,8.638261072180963e-150,2.4963892057467625,1.3300330572837028e-146
NEK10,-35.451409540114255,1.3705434647911468e-149,-4.375185364458768,1.9183870661262989e-146
PGR,-37.203878419122915,8.793644771277593e-148,-5.403182550864794,1.1282979045280092e-144
SERPINA11,-37.02796421553611,1.6759901381289666e-147,-5.262741409309898,1.8845062015956452e-144
AGR3,-44.449450082411225,1.7528578219683987e-147,-7.88837390038473,1.8845062015956452e-144
CENPA,34.29539923139857,1.8359156344700058e-147,2.439755951266859,1.8845062015956452e-144
PHGR1,-29.555155240590146,5.175140834047578e-145,-2.6390149700183745,4.98010271386441e-142
NXNL2,-33.02634920095252,3.427063931836012e-144,-3.004392705625451,3.1039119622634755e-141
PSAT1,38.47312593655965,4.817402990088863e-144,4.097081485043846,4.1207529910221234e-141
CT62,-40.96987422186427,7.104650088931875e-144,-4.055160314200551,5.757384074699162e-141
LOC389033,-29.441787907444724,3.9460159057768663e-143,-2.651124419430861,3.0378403450623206e-140
TBC1D9,-42.60984170597756,2.5802785651329453e-142,-3.4732092102526657,1.891835669873903e-139
GRPR,-33.384008999127076,5.966867315346072e-141,-4.42006805829954,4.17599345701743e-138
ORC6L,32.159088916217684,5.7022507752554914e-139,2.054867450001753,3.817285008113426e-136
ESR1,-43.58385919247222,8.515825193292561e-138,-6.243674717514144,5.463256687546898e-135
GPR77,-38.11437656456196,2.9157555151335565e-137,-3.3030187567155327,1.795755506660455e-134
HJURP,30.250702092850947,1.136176979042164e-136,2.052720091158027,6.728352671658539e-134
C6orf97,-41.09076652134781,1.509153142923996e-135,-3.8687985477106643,8.606085533926209e-133
PLK1,30.337956398592546,1.0083498204908635e-134,2.0920036073273156,5.5448436378920806e-132
SYT9,-33.2584467380776,9.646061553878445e-134,-4.586188656372398,5.12139343948505e-131
AURKB,31.33220097068637,2.1762588827580653e-133,2.416170133617559,1.1169286005941978e-130
TMPRSS6,-31.04424172825676,7.475156657958602e-133,-3.666219808672141,3.712741518148019e-130
C6orf211,-32.37351825371374,1.9515017781310428e-132,-2.074586219715096,9.389772774338646e-130
TCEAL1,-32.758113634278224,2.0282711076557316e-132,-1.658499440227378,9.46342128623494e-130
