,importance
CLCN4,0.005766062602965416
TMEM71,0.0049423393739703725
SERPINA11,0.0049423393739703725
IL34,0.004118616144975329
TMPRSS6,0.004118616144975329
LOC100128977,0.004118616144975329
FSIP1,0.004118616144975329
MEOX2,0.004118616144975329
ADAM33,0.004118616144975329
SCUBE2,0.0032948929159802853
OSR1,0.0032948929159802853
CDCA7,0.0032948929159802853
C20orf26,0.0032948929159802853
TPRG1,0.0032948929159802853
MAG,0.0032948929159802853
ABCC8,0.0032948929159802853
ORC6L,0.0032948929159802853
PSAT1,0.0032948929159802853
MFAP4,0.0032948929159802853
SFRS13B,0.0032948929159802853
MOBKL2B,0.0032948929159802853
DNASE1L3,0.0032948929159802853
MAB21L1,0.0032948929159802853
THSD4,0.0032948929159802853
RGS22,0.0032948929159802853
S100B,0.0032948929159802853
B3GNT5,0.0032948929159802853
MRAS,0.0032948929159802853
RGMA,0.0024711696869852418
ITPRIPL1,0.0024711696869852418
MET,0.0024711696869852418
L3MBTL4,0.0024711696869852418
PLAGL1,0.0024711696869852418
SPRY2,0.0024711696869852418
CHST3,0.0024711696869852418
DDX26B,0.0024711696869852418
DMD,0.0024711696869852418
BCL11A,0.0024711696869852418
SFRP1,0.0024711696869852418
FOXC1,0.0024711696869852418
MGAT3,0.0024711696869852418
LOC284578,0.0024711696869852418
TRIM29,0.0024711696869852418
RBMS1,0.0024711696869852418
CENPA,0.0024711696869852418
LOC389033,0.0024711696869852418
MCM10,0.0024711696869852418
CDC25A,0.0024711696869852418
TUBA3D,0.0024711696869852418
HJURP,0.0024711696869852418
ABAT,0.0024711696869852418
AURKB,0.0024711696869852418
TPSG1,0.0024711696869852418
NRG2,0.0024711696869852418
UBE2E3,0.0024711696869852418
C11orf75,0.0024711696869852418
SCN4B,0.0024711696869852418
JAM3,0.0024711696869852418
RHOJ,0.0024711696869852418
FXYD1,0.0024711696869852418
SELP,0.0024711696869852418
CEP55,0.0024711696869852418
ABCA6,0.0024711696869852418
PEAR1,0.0024711696869852418
TACR1,0.0016474464579901982
PLEKHG1,0.0016474464579901982
CHST2,0.0016474464579901982
STAC2,0.0016474464579901982
ID4,0.0016474464579901982
TCF7L1,0.0016474464579901982
CRYAB,0.0016474464579901982
TLE4,0.0016474464579901982
C2orf40,0.0016474464579901982
CADM3,0.0016474464579901982
GPRASP1,0.0016474464579901982
PGM5,0.0016474464579901982
SCN2B,0.0016474464579901982
TSPAN7,0.0016474464579901982
C7,0.0016474464579901982
INMT,0.0016474464579901982
DACH1,0.0016474464579901982
JAM2,0.0016474464579901982
CLDN11,0.0016474464579901982
