gene,t_stat,p_value,log2FC,p_adj
SPARCL1,40.19635115516435,7.818890662067086e-215,1.9484574808201138,1.2038745952384692e-210
IL33,38.90432144025822,1.3842284192048657e-206,3.4989216256613815,1.0656482485248658e-202
COL14A1,37.475743353730124,4.19711631870542e-201,2.7021327506613666,2.154099998636912e-197
DARC,37.000457602811686,7.567974522415121e-199,3.88325553174602,2.9131025930406405e-195
ADAM33,38.24740936074366,1.0039696428782051e-189,3.2039611382275153,3.0916241182791448e-186
MFAP4,36.620724351419085,1.2871971180909163e-189,2.9776636679894235,3.3031623378743065e-186
ABCA8,38.35948043305441,3.2790932322412996e-189,4.337956808201054,7.212599785259898e-186
JAM2,37.77637579208955,5.3270076877447405e-188,1.9556090952380947,1.0252492171025721e-184
SCN4B,38.85798507993754,5.302231256104509e-187,2.5598335952380955,9.070939405582347e-184
ITM2A,37.63583026875986,5.7362235545330295e-186,2.468397939814807,8.832063406914506e-183
FREM1,38.10900697912796,2.871524641158447e-185,3.4027250773809543,4.0193513545378734e-182
NGFR,35.65546304323834,8.49804107599996e-185,2.994081530423287,1.0903694870597615e-181
CCL14,37.03357311409784,5.7604104645572734e-182,3.5685189345238086,6.82254153252218e-179
CLDN11,37.02339190551374,1.2171773501604942e-181,2.8227164021163897,1.338634261458652e-178
RHOJ,36.28282175964188,4.888353731493775e-180,1.6371693406084633,5.017732160253977e-177
SELP,34.24057378474896,3.279701368022386e-179,3.0539126746031764,3.156097622715042e-176
ABCB1,36.17487371587945,1.0605627787407887e-178,2.525744441798942,9.605579473101132e-176
MEOX1,35.45233094500938,3.4460177523832135e-178,3.2016678406084544,2.947685296302463e-175
C7,34.05145570055631,9.599349024674176e-176,4.198392736111107,7.779009312258332e-173
IGF1,35.167409264249955,1.1630281730058694e-174,2.7982146957672,8.953572389885685e-172
TSPAN7,36.68517223749212,1.4613055186775034e-172,2.5185447566137507,1.0714152890989295e-169
SCN2B,36.35244815348037,1.5451347579065337e-172,3.24620385978836,1.0813836303403137e-169
PROS1,35.83482935047287,5.1639305019150325e-172,1.9055735205026405,3.4569146929559024e-169
PGM5,35.161027853475005,4.250825181617746e-170,2.7229693227513314,2.7270814717236845e-167
GIPC2,36.5363133915509,5.244808394299095e-168,2.5925820218253977,3.2301725938809267e-165
FXYD1,37.12044275429593,1.209632590409183e-166,3.933620054894186,7.163351151742381e-164
C2orf40,35.82178724359206,1.3117090029390748e-166,4.256902269179898,7.480142043797382e-164
LHFP,36.59269894860801,2.512992347628788e-166,1.8283753412698331,1.3818765420157304e-163
INMT,35.42638192371703,7.842865383290565e-166,2.67620258002645,4.1640206312594764e-163
AQP1,36.09912403933324,9.385151938545981e-166,2.0302698789682374,4.816772813259749e-163
ZCCHC24,34.2227893795264,2.7738082296329387e-163,1.6178134226190526,1.363510318254615e-160
JAM3,32.65709443666705,2.8338202366790725e-163,1.3358312162698471,1.363510318254615e-160
GPRASP1,35.570757721751285,2.0289784556255736e-161,1.988877594576727,9.466721600383926e-159
TACR1,33.20855771931764,1.2341565722523102e-160,3.098744594576708,5.5889143361673e-158
TMEM132C,35.955233664151905,5.942112647198002e-159,4.53554509920635,2.6140202408259324e-156
MAB21L1,34.92757297720031,1.1590956007318709e-158,2.62576820965609,4.957387490130171e-156
BOC,32.011053164685464,5.266828785963185e-158,1.9244995489418049,2.1917125085804094e-155
