gene,log2FC,p_value,p_adj
C6orf211,1.6306962913849643,6.869002205102099e-105,5.686130481288012e-103
LRRC46,1.8868063014934415,3.0226548233345047e-102,2.226785469611549e-100
C17orf28,1.534028884154699,9.508140539899031e-102,6.905511315699312e-100
TSPAN13,1.301578082541667,1.3877253205968556e-101,9.984489140761583e-100
AAGAB,0.6371270543031589,2.852290407055032e-100,1.9011565107110965e-98
GATA3,2.439349200560862,4.2550244779609476e-98,2.589510351271333e-96
COX6C,1.6750895409882371,6.572865099252034e-98,3.968721722869943e-96
ANXA9,2.3051841503445667,1.0787466807385844e-97,6.4628259312575825e-96
XBP1,1.6889633584052444,1.4745270181930795e-97,8.765749999659786e-96
ESR1,3.4918949832612203,3.007220599838356e-96,1.7341638792401187e-94
STARD10,1.5785199327188568,6.494684358437336e-93,3.262531542713264e-91
SLC9A3R1,1.3972303015151688,1.9238785942982927e-92,9.555470553680907e-91
TMBIM6,0.6044870198473884,1.1378974750541889e-91,5.492228032416722e-90
LASS2,0.8409386513336532,1.4648638287895492e-91,7.026326595598968e-90
PRRT3,1.4446670110432391,9.081705919852878e-90,3.99517217279928e-88
HN1L,0.7513114937719081,2.013001708374025e-89,8.633478357614167e-88
PRR15,2.543663452968405,2.1908224203983797e-89,9.344070029604944e-88
MAGED2,1.207229584139478,1.3020974814767992e-88,5.346238645946208e-87
ATP6AP1,0.6972858106345612,2.908001986616574e-88,1.166002775727484e-86
CCDC125,0.9607850334775154,5.434545719352802e-86,2.0309636029338607e-84
