gene,log2FC,p_value,p_adj
SPARCL1,1.9484574808201136,7.818890662067085e-215,1.2038745952384693e-210
IL33,3.498921625661381,1.3842284192048654e-206,1.0656482485248658e-202
COL14A1,2.7021327506613666,4.19711631870542e-201,2.1540999986369123e-197
DARC,3.88325553174602,7.567974522415121e-199,2.9131025930406405e-195
ADAM33,3.2039611382275157,1.0039696428782051e-189,3.091624118279145e-186
MFAP4,2.9776636679894235,1.2871971180909163e-189,3.3031623378743065e-186
ABCA8,4.337956808201054,3.2790932322413e-189,7.2125997852598975e-186
JAM2,1.955609095238095,5.327007687744741e-188,1.025249217102572e-184
SCN4B,2.5598335952380955,5.30223125610451e-187,9.070939405582347e-184
ITM2A,2.468397939814807,5.73622355453303e-186,8.832063406914506e-183
FREM1,3.4027250773809543,2.871524641158447e-185,4.0193513545378734e-182
NGFR,2.994081530423287,8.498041075999959e-185,1.0903694870597617e-181
CCL14,3.5685189345238086,5.7604104645572734e-182,6.822541532522179e-179
CLDN11,2.8227164021163897,1.2171773501604942e-181,1.3386342614586518e-178
RHOJ,1.6371693406084633,4.888353731493775e-180,5.017732160253976e-177
SELP,3.0539126746031764,3.2797013680223865e-179,3.1560976227150417e-176
ABCB1,2.525744441798942,1.0605627787407888e-178,9.605579473101131e-176
MEOX1,3.2016678406084544,3.4460177523832135e-178,2.9476852963024626e-175
C7,4.198392736111107,9.599349024674175e-176,7.779009312258332e-173
IGF1,2.7982146957672,1.1630281730058694e-174,8.953572389885686e-172
